iri,term_localName,label,definition,comments,examples,organized_in,issued,status,replaces,rdf_type,term_iri,flags
http://rs.rebipp.org.br/ppi/terms/version/sexualSystem-2021-12-03,sexualSystem,Sexual System,The distribution of floral types within and among the individuals of the same population,The gender expression is based in the presence and distribution of fertile whorls within the flower. Recommended best practice is to use a controlled vocabulary,"`monoceius`, `dioceius`",http://rs.rebipp.org.br/ppi/terms/Plant,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/sexualSystem,simple
http://rs.rebipp.org.br/ppi/terms/version/Flower-2021-12-03,Flower,Flower,Any attribute of a particular flower or a definied group of flowers ,,The shape and the number of anther of a flower,,2021-12-03,recommended,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.rebipp.org.br/ppi/terms/Flower,simple
http://rs.rebipp.org.br/ppi/terms/version/antherPollenGrainsQuantity-2021-12-03,antherPollenGrainsQuantity,Anther Pollen Grains Quantity,The total number of pollen grains in the anther(s) of a flower,For flowers with multiple anthers the number provided should be the sum of pollen grains in all anthers,"`1523`,`2641`, `1146`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/antherPollenGrainsQuantity,simple
http://rs.rebipp.org.br/ppi/terms/version/stigmaticAreaInSquareMilimiters-2021-12-03,stigmaticAreaInSquareMilimiters,Stigmatic Area In Square Milimiters,The total surface area in square millimeters of the stigma of a flower,,"`10`, `25`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/stigmaticAreaInSquareMilimiters,simple
http://rs.rebipp.org.br/ppi/terms/version/styleLengthInMilimiters-2021-12-03,styleLengthInMilimiters,Style Length In Milimiters,The length in milimiters from the base to the tip of the style of a flower,,"`12.5`, `6.5`, `20.0`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/styleLengthInMilimiters,simple
http://rs.rebipp.org.br/ppi/terms/version/coloredFlowerStructure-2021-12-03,coloredFlowerStructure,Colored Flower Structure,The predominant colored structure(s) of the flower(s),"Recommended best practice is to separate the values in a list with space vertical bar space ( | ).

Recommended best practice is to use a controlled vocabulary.
","`bract`, `bract | petal`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/coloredFlowerStructure,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerColor-2021-12-03,flowerColor,Flower Color,The predominant color(s) of the flower(s),"Recommended best practice is to separate the values with space vertical bar space ( | ).

Recommended best practice is to use a controlled vocabulary.","`blue`, `red | yellow`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerColor,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerShape-2021-12-03,flowerShape,Flower Shape,The overall shape of the flowers,Recommended best practice is to use a controlled vocabulary.,"`bush`, `campanulate`, `tube`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerShape,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerOrientation-2021-12-03,flowerOrientation,Flower Orientation,The orientation (presentation) of the flower with respect to the flower or inflorescence main axis,Recommended best practice is to use a controlled vocabulary.,"`vertical`,`horizontal`, `pendant`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerOrientation,simple
http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningType-2021-12-03,flowerOpeningType,Flower Opening Type,"The type of flower describing whether the flower's corolla opens or not, exposing its reproductive parts",Recommended best practice is to use a controlled vocabulary.,"`cleistogamous`, `chasmogamous`",http://rs.rebipp.org.br/ppi/terms/Flower,2021-12-03,recommended,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.rebipp.org.br/ppi/terms/flowerOpeningType,simple
